URL,Locality,Zip code,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/penthouse/for-sale/1410/waterloo/vbc89889,1410 Waterloo,1410,Apartment,penthouse,745000.0,for sale,3.0,162.0,Super equipped,,,1.0,,,,,3.0,0.0,Excellent
https://immovlan.be/en/detail/residence/for-sale/3680/maaseik/rbv05564,3680 Maaseik,3680,House,residence,,for sale,5.0,194.0,,,,0.0,,1.0,,826.0,4.0,,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd82781,1300 Wavre,1300,Apartment,apartment,265000.0,for sale,2.0,100.0,Fully equipped,0.0,,1.0,,,,,,0.0,Normal
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vba34394,1140 Evere,1140,Apartment,apartment,259000.0,for sale,3.0,127.0,,0.0,1.0,1.0,,0.0,,,3.0,0.0,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbd87710,1210 Sint-Joost-ten-Node,1210,Apartment,apartment,145000.0,for sale,1.0,43.0,,0.0,,0.0,,0.0,,,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/1740/ternat/vbd85050,1740 Ternat,1740,House,residence,649000.0,for sale,6.0,380.0,Super equipped,,,1.0,,1.0,217.0,560.0,4.0,,Excellent
https://immovlan.be/en/detail/residence/for-sale/1370/melin/vbd69384,1370 Mélin,1370,House,residence,575000.0,for sale,3.0,200.0,,0.0,,1.0,,1.0,,1244.0,3.0,,
https://immovlan.be/en/detail/residence/for-sale/9500/goeferdinge/rbv35817,9500 Goeferdinge,9500,House,residence,345000.0,for sale,4.0,200.0,,0.0,,1.0,,1.0,,540.0,2.0,,New
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd80159,1200 Sint-Lambrechts-Woluwe,1200,Apartment,apartment,1850000.0,for sale,4.0,226.0,Super equipped,0.0,,1.0,,1.0,,,3.0,0.0,New
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd66439,5570 Beauraing,5570,House,residence,175000.0,for sale,4.0,160.0,Partially equipped,0.0,,1.0,,1.0,,2000.0,4.0,,Normal
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd88780,6030 Marchienne-au-Pont,6030,House,residence,279000.0,for sale,7.0,294.0,Fully equipped,0.0,,1.0,,,,,2.0,,Fully renovated
https://immovlan.be/en/detail/studio/for-sale/1410/waterloo/vbd17105,1410 Waterloo,1410,Apartment,studio,225000.0,for sale,0.0,57.0,,0.0,,1.0,,1.0,150.0,,2.0,,
https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vaz65246,1000 Brussels,1000,Apartment,penthouse,284000.0,for sale,1.0,,,0.0,,1.0,,0.0,,,4.0,,New
https://immovlan.be/en/detail/apartment/for-sale/6240/farciennes/vbd89610,6240 Farciennes,6240,Apartment,apartment,174500.0,for sale,2.0,79.0,Fully equipped,,,0.0,,0.0,,,2.0,0.0,Fully renovated
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd78267,6700 Arlon,6700,Apartment,apartment,270000.0,for sale,1.0,75.0,,0.0,,1.0,,0.0,,,2.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/7712/herseaux/vbd88277,7712 Herseaux,7712,House,residence,339000.0,for sale,2.0,142.0,Fully equipped,0.0,,1.0,,1.0,,877.0,4.0,0.0,To renovate
https://immovlan.be/en/detail/residence/for-sale/6762/saint-mard/vbd56173,6762 Saint-Mard,6762,House,residence,145000.0,for sale,2.0,60.0,,0.0,,0.0,,0.0,,,3.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/vbd49213,6060 Gilly,6060,Apartment,apartment,99000.0,for sale,2.0,71.0,Fully equipped,,,,,,,,,0.0,To renovate
https://immovlan.be/en/detail/studio/for-sale/1140/evere/vbd30714,1140 Evere,1140,Apartment,studio,248000.0,for sale,0.0,39.0,Super equipped,1.0,,0.0,,0.0,,,2.0,0.0,New
https://immovlan.be/en/detail/villa/for-sale/5540/hastiere/vbd82597,5540 Hastière,5540,House,villa,280000.0,for sale,5.0,240.0,,0.0,0.0,1.0,,1.0,673.0,,,,Normal
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30377,1300 Wavre,1300,Apartment,apartment,245000.0,for sale,2.0,75.0,,0.0,,0.0,,0.0,,,,,
https://immovlan.be/en/detail/residence/for-sale/2260/westerlo/rbv29174,2260 Westerlo,2260,House,residence,399000.0,for sale,3.0,149.0,,0.0,,0.0,,1.0,,3561.0,4.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd77575,1090 Jette,1090,Apartment,apartment,175000.0,for sale,1.0,78.0,Fully equipped,,,0.0,,,,,3.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/3500/hasselt/rbv06995,3500 Hasselt,3500,House,residence,410622.0,for sale,3.0,169.0,,,,1.0,,1.0,,,2.0,,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd79915,1300 Wavre,1300,Apartment,apartment,323720.0,for sale,2.0,99.0,Fully equipped,0.0,,1.0,,,,,,0.0,New
https://immovlan.be/en/detail/residence/for-sale/3720/kortessem/rbv05477,3720 Kortessem,3720,House,residence,259000.0,for sale,3.0,200.0,Fully equipped,0.0,,1.0,,1.0,,1188.0,4.0,,To be renovated
https://immovlan.be/en/detail/duplex/for-sale/1180/ukkel/vwd13720,1180 Ukkel,1180,Apartment,duplex,747000.0,for sale,4.0,218.0,Fully equipped,,,1.0,,,,,4.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbd83051,1140 Evere,1140,Apartment,apartment,295000.0,for sale,2.0,103.0,,0.0,0.0,1.0,,0.0,,,,,Excellent
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd71148,1030 Schaarbeek,1030,Apartment,apartment,215000.0,for sale,2.0,85.0,,,,0.0,,0.0,,,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd79128,6061 Montignies-sur-Sambre,6061,House,residence,125000.0,for sale,2.0,103.0,,0.0,,0.0,,1.0,,203.0,2.0,,
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd68193,1050 Elsene,1050,Apartment,apartment,630000.0,for sale,3.0,141.0,Super equipped,0.0,,0.0,,0.0,,,3.0,0.0,Excellent
https://immovlan.be/en/detail/residence/for-sale/4680/oupeye/vbd84131,4680 Oupeye,4680,House,residence,400000.0,for sale,4.0,198.0,,,,1.0,,1.0,,521.0,4.0,,Normal
https://immovlan.be/en/detail/ground-floor/for-sale/1180/ukkel/vbd73694,1180 Ukkel,1180,Apartment,ground-floor,450000.0,for sale,2.0,110.0,,0.0,,0.0,,1.0,,,,,
